product_id,product_name,category_id,unit_cost_cents,unit_price_cents,sku,is_active
1,TrailBlaze Pro Runner,1,4500,9999,SKU-001,true
2,CloudStep Daily Runner,1,3200,7499,SKU-002,true
3,UrbanKick Low Top,2,2800,5999,SKU-003,true
4,Canvas Classic,2,1500,3499,SKU-004,true
5,Summit Hiker Boot,3,5500,12999,SKU-005,true
6,City Walker Boot,3,3800,8499,SKU-006,true
7,CoreFit Tee,4,600,1999,SKU-007,true
8,Premium Blend Tee,4,900,2999,SKU-008,true
9,CozyCamp Hoodie,5,1800,4999,SKU-009,true
10,TechFleece Hoodie,5,2200,5999,SKU-010,true
11,WindBreaker Jacket,6,3500,8999,SKU-011,true
12,InsulaTech Jacket,6,6000,14999,SKU-012,true
13,FlexMove Yoga Pant,7,1400,3999,SKU-013,true
14,PowerStretch Legging,7,1600,4499,SKU-014,true
15,DayTrip Backpack 20L,8,2500,5999,SKU-015,true
16,Expedition Pack 40L,8,4000,9999,SKU-016,true
17,Classic Logo Hat,9,500,1499,SKU-017,true
18,Performance Cap,9,700,1999,SKU-018,true
19,Merino Wool Socks 3pk,10,400,1299,SKU-019,true
20,Compression Socks 2pk,10,350,999,SKU-020,true
21,HydroFlow Bottle 32oz,11,800,2499,SKU-021,true
22,UltraLight Tent 2P,12,8000,19999,SKU-022,true
23,WarmNest Sleeping Bag,13,5500,12999,SKU-023,true
24,SoundWave Headphones,14,7000,14999,SKU-024,true
25,FitTrack Smart Watch,15,9000,24999,SKU-025,false
