CTID_FIVETRAN_ID,ID,CUSTOMER_ID,ORDER_ID,ISSUE_TYPE,PRIORITY,STATUS,DESCRIPTION,CREATED_AT,RESOLVED_AT,_FIVETRAN_DELETED,_FIVETRAN_SYNCED
TBD_TK_000000,3000,1,90001,shipping_delay,medium,resolved,Order has not arrived within expected delivery window. Customer requesting tracking update from TBD.,2026-05-15 00:00:00.000,2026-05-16 00:00:00.000,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000001,3001,2,90002,product_defect,high,open,Product received with manufacturing defect. Customer requesting replacement or refund from TBD.,2026-05-10 00:00:00.000,,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000002,3002,3,90003,billing_error,low,closed,Customer charged incorrect amount on TBD purchase. Requesting price adjustment.,2026-05-05 00:00:00.000,2026-05-08 00:00:00.000,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000003,3003,4,90004,return_request,medium,in_progress,Customer wants to return item purchased at TBD. Requesting return shipping label.,2026-04-30 00:00:00.000,,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000004,3004,5,90005,shipping_delay,medium,resolved,Order has not arrived within expected delivery window. Customer requesting tracking update from TBD.,2026-04-25 00:00:00.000,2026-04-30 00:00:00.000,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000005,3005,6,90006,product_defect,high,open,Product received with manufacturing defect. Customer requesting replacement or refund from TBD.,2026-04-20 00:00:00.000,,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000006,3006,7,90007,billing_error,low,closed,Customer charged incorrect amount on TBD purchase. Requesting price adjustment.,2026-04-15 00:00:00.000,2026-04-22 00:00:00.000,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000007,3007,8,90008,return_request,medium,in_progress,Customer wants to return item purchased at TBD. Requesting return shipping label.,2026-04-10 00:00:00.000,,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000008,3008,9,90009,shipping_delay,medium,resolved,Order has not arrived within expected delivery window. Customer requesting tracking update from TBD.,2026-04-05 00:00:00.000,2026-04-07 00:00:00.000,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000009,3009,10,90010,product_defect,high,open,Product received with manufacturing defect. Customer requesting replacement or refund from TBD.,2026-03-31 00:00:00.000,,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000010,3010,11,90011,billing_error,low,closed,Customer charged incorrect amount on TBD purchase. Requesting price adjustment.,2026-03-26 00:00:00.000,2026-03-30 00:00:00.000,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000011,3011,12,90012,return_request,medium,in_progress,Customer wants to return item purchased at TBD. Requesting return shipping label.,2026-03-21 00:00:00.000,,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000012,3012,13,90013,shipping_delay,medium,resolved,Order has not arrived within expected delivery window. Customer requesting tracking update from TBD.,2026-03-16 00:00:00.000,2026-03-22 00:00:00.000,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000013,3013,14,90014,product_defect,high,open,Product received with manufacturing defect. Customer requesting replacement or refund from TBD.,2026-03-11 00:00:00.000,,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000014,3014,15,90015,billing_error,low,closed,Customer charged incorrect amount on TBD purchase. Requesting price adjustment.,2026-03-06 00:00:00.000,2026-03-07 00:00:00.000,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000015,3015,16,90016,return_request,medium,in_progress,Customer wants to return item purchased at TBD. Requesting return shipping label.,2026-03-01 00:00:00.000,,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000016,3016,17,90017,shipping_delay,medium,resolved,Order has not arrived within expected delivery window. Customer requesting tracking update from TBD.,2026-02-24 00:00:00.000,2026-02-27 00:00:00.000,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000017,3017,18,90018,product_defect,high,open,Product received with manufacturing defect. Customer requesting replacement or refund from TBD.,2026-02-19 00:00:00.000,,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000018,3018,19,90019,billing_error,low,closed,Customer charged incorrect amount on TBD purchase. Requesting price adjustment.,2026-02-14 00:00:00.000,2026-02-19 00:00:00.000,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000019,3019,20,90020,return_request,medium,in_progress,Customer wants to return item purchased at TBD. Requesting return shipping label.,2026-02-09 00:00:00.000,,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000020,3020,21,90021,shipping_delay,medium,resolved,Order has not arrived within expected delivery window. Customer requesting tracking update from TBD.,2026-02-04 00:00:00.000,2026-02-11 00:00:00.000,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000021,3021,22,90022,product_defect,high,open,Product received with manufacturing defect. Customer requesting replacement or refund from TBD.,2026-01-30 00:00:00.000,,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000022,3022,23,90023,billing_error,low,closed,Customer charged incorrect amount on TBD purchase. Requesting price adjustment.,2026-01-25 00:00:00.000,2026-01-27 00:00:00.000,FALSE,2026-05-15 14:57:16.826 -0700
TBD_TK_000023,3023,24,90024,return_request,medium,in_progress,Customer wants to return item purchased at TBD. Requesting return shipping label.,2026-01-20 00:00:00.000,,FALSE,2026-05-15 14:57:16.826 -0700
